"Titre de tracé : 21458365"
"#","Date Heure, GMT-01:00","Plage basse, μS/cm (LGR S/N: 21458365, SEN S/N: 21458365)","Plage complète, μS/cm (LGR S/N: 21458365, SEN S/N: 21458365)","Temp., °C (LGR S/N: 21458365, SEN S/N: 21458365)","Coupleur détaché (LGR S/N: 21458365)","Fin de fichier (LGR S/N: 21458365)"
146,01/04/23 11:32:25 AM,1.3,2.8,14.84,,
147,01/04/23 11:32:26 AM,3.1,2.8,14.83,,
148,01/04/23 11:32:27 AM,1.4,-1.3,14.84,,
149,01/04/23 11:32:28 AM,3.1,2.8,14.83,,
150,01/04/23 11:32:29 AM,3.4,-0.1,14.83,,
151,01/04/23 11:32:30 AM,0.3,2.8,14.83,,
152,01/04/23 11:32:31 AM,1.4,2.8,14.83,,
153,01/04/23 11:32:32 AM,1.4,-1.3,14.83,,
154,01/04/23 11:32:33 AM,3.4,-1.3,14.82,,
155,01/04/23 11:32:34 AM,1.5,2.8,14.82,,
156,01/04/23 11:32:35 AM,3.1,2.8,14.82,,
157,01/04/23 11:32:36 AM,3.4,2.8,14.82,,
158,01/04/23 11:32:37 AM,1.5,-1.3,14.82,,
159,01/04/23 11:32:38 AM,3.1,2.8,14.80,,
160,01/04/23 11:32:39 AM,3.1,2.8,14.82,,
161,01/04/23 11:32:40 AM,3.4,2.8,14.80,,
162,01/04/23 11:32:41 AM,3.4,2.8,14.80,,
163,01/04/23 11:32:42 AM,1.5,-1.3,14.80,,
164,01/04/23 11:32:43 AM,3.1,-1.3,14.80,,
165,01/04/23 11:32:44 AM,3.4,2.8,14.80,,
166,01/04/23 11:32:45 AM,3.1,2.8,14.79,,
167,01/04/23 11:32:46 AM,3.1,2.8,14.78,,
168,01/04/23 11:32:47 AM,3.1,2.8,14.78,,
169,01/04/23 11:32:48 AM,3.4,2.8,14.79,,
170,01/04/23 11:32:49 AM,1.4,2.8,14.79,,
171,01/04/23 11:32:50 AM,1.4,2.8,14.78,,
172,01/04/23 11:32:51 AM,3.1,-0.1,14.78,,
173,01/04/23 11:32:52 AM,3.1,2.8,14.78,,
174,01/04/23 11:32:53 AM,3.4,2.8,14.79,,
175,01/04/23 11:32:54 AM,1.5,-0.1,14.78,,
176,01/04/23 11:32:55 AM,3.4,2.8,14.78,,
177,01/04/23 11:32:56 AM,0.8,2.8,14.78,,
178,01/04/23 11:32:57 AM,3.1,-1.3,14.77,,
179,01/04/23 11:32:58 AM,1.5,-0.1,14.77,,
180,01/04/23 11:32:59 AM,1.5,2.8,14.77,,
181,01/04/23 11:33:00 AM,3.1,-1.3,14.77,,
182,01/04/23 11:33:01 AM,3.4,2.8,14.77,,
183,01/04/23 11:33:02 AM,1.5,2.8,14.77,,
184,01/04/23 11:33:03 AM,1.4,-1.3,14.77,,
185,01/04/23 11:33:04 AM,3.4,2.8,14.77,,
186,01/04/23 11:33:05 AM,1.5,2.8,14.74,,
187,01/04/23 11:33:06 AM,1.4,2.8,14.74,,
188,01/04/23 11:33:07 AM,3.1,-1.3,14.74,,
189,01/04/23 11:33:08 AM,3.1,2.8,14.74,,
190,01/04/23 11:33:09 AM,3.4,-1.3,14.74,,
191,01/04/23 11:33:10 AM,3.4,2.8,14.74,,
192,01/04/23 11:33:11 AM,1.5,2.8,14.74,,
193,01/04/23 11:33:12 AM,1.5,-1.3,14.74,,
194,01/04/23 11:33:13 AM,1.4,2.8,14.74,,
195,01/04/23 11:33:14 AM,1.4,-0.1,14.74,,
196,01/04/23 11:33:15 AM,1.5,2.8,14.74,,
197,01/04/23 11:33:16 AM,1.4,2.8,14.74,,
198,01/04/23 11:33:17 AM,3.1,2.8,14.73,,
199,01/04/23 11:33:18 AM,1.5,2.8,14.73,,
200,01/04/23 11:33:19 AM,3.4,2.8,14.73,,
201,01/04/23 11:33:20 AM,1.5,2.8,14.73,,
202,01/04/23 11:33:21 AM,1.5,2.8,14.73,,
203,01/04/23 11:33:22 AM,1.4,2.8,14.73,,
204,01/04/23 11:33:23 AM,1.5,2.8,14.73,,
205,01/04/23 11:33:24 AM,3.1,2.8,14.73,,
206,01/04/23 11:33:25 AM,1.5,2.8,14.73,,
207,01/04/23 11:33:26 AM,1.4,2.8,14.73,,
208,01/04/23 11:33:27 AM,1.5,2.8,14.73,,
209,01/04/23 11:33:28 AM,1.4,2.8,14.73,,
210,01/04/23 11:33:29 AM,3.1,2.8,14.72,,
211,01/04/23 11:33:30 AM,1.5,2.8,14.72,,
212,01/04/23 11:33:31 AM,3.1,-1.3,14.72,,
213,01/04/23 11:33:32 AM,1.5,-1.3,14.72,,
214,01/04/23 11:33:33 AM,1.4,2.8,14.72,,
215,01/04/23 11:33:34 AM,3.4,2.8,14.72,,
216,01/04/23 11:33:35 AM,0.8,2.8,14.72,,
217,01/04/23 11:33:36 AM,1.5,-0.1,14.70,,
218,01/04/23 11:33:37 AM,3.1,2.8,14.72,,
219,01/04/23 11:33:38 AM,1.5,2.8,14.70,,
220,01/04/23 11:33:39 AM,1.5,2.8,14.70,,
221,01/04/23 11:33:40 AM,1.4,2.8,14.70,,
222,01/04/23 11:33:41 AM,3.4,2.8,14.72,,
223,01/04/23 11:33:42 AM,3.1,2.8,14.70,,
224,01/04/23 11:33:43 AM,3.1,-1.3,14.70,,
225,01/04/23 11:33:44 AM,1.4,2.8,14.70,,
226,01/04/23 11:33:45 AM,1.4,2.8,14.70,,
227,01/04/23 11:33:46 AM,1.5,2.8,14.70,,
228,01/04/23 11:33:47 AM,1.4,2.8,14.70,,
229,01/04/23 11:33:48 AM,1.5,2.8,14.70,,
230,01/04/23 11:33:49 AM,1.5,-1.3,14.70,,
231,01/04/23 11:33:50 AM,3.4,2.8,14.70,,
232,01/04/23 11:33:51 AM,1.4,2.8,14.70,,
233,01/04/23 11:33:52 AM,1.5,2.8,14.69,,
234,01/04/23 11:33:53 AM,3.4,2.8,14.69,,
235,01/04/23 11:33:54 AM,3.4,2.8,14.70,,
236,01/04/23 11:33:55 AM,3.4,2.8,14.69,,
237,01/04/23 11:33:56 AM,1.5,2.8,14.69,,
238,01/04/23 11:33:57 AM,3.1,2.8,14.69,,
239,01/04/23 11:33:58 AM,1.4,2.8,14.69,,
240,01/04/23 11:33:59 AM,3.1,2.8,14.69,,
241,01/04/23 11:34:00 AM,3.1,-1.3,14.69,,
242,01/04/23 11:34:01 AM,3.4,2.8,14.69,,
243,01/04/23 11:34:02 AM,1.5,-1.3,14.68,,
244,01/04/23 11:34:03 AM,1.5,2.8,14.65,,
245,01/04/23 11:34:04 AM,3.4,2.8,14.63,,
246,01/04/23 11:34:05 AM,1.7,2.8,14.63,,
247,01/04/23 11:34:06 AM,1.4,2.8,14.63,,
248,01/04/23 11:34:07 AM,3.4,2.8,14.63,,
